overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
low,nonoverlap,HVminusHM,gain_T_vs_N,400,0.0699578784268427,0.051606438646887784,0.52
low,nonoverlap,HVminusHM,gain_U_vs_N,400,0.032142623070588634,0.03211038448304614,0.505
low,nonoverlap,HMminusV,gain_T_vs_U,400,-0.12190972376420783,0.05793669531480254,0.4525
low,nonoverlap,HMminusV,gain_T_vs_N,400,-0.22203801589300082,0.058963091394857,0.415
low,nonoverlap,HMminusV,gain_U_vs_N,400,-0.10012829212879297,0.03571117700757499,0.4575
low,nonoverlap,HMminusR,gain_T_vs_U,400,0.12536536070110743,0.05341586649852657,0.5525
low,nonoverlap,HMminusR,gain_T_vs_N,400,-0.020607279666000983,0.05464544929014666,0.4775
low,nonoverlap,HMminusR,gain_U_vs_N,400,-0.14597264036710839,0.035555449734497556,0.44
low,overlap,RminusC,gain_T_vs_U,400,0.11041158300737151,0.11383431701815275,0.5425
low,overlap,RminusC,gain_T_vs_N,400,0.17679933913585655,0.1029068617450292,0.5625
low,overlap,RminusC,gain_U_vs_N,400,0.066387756128485,0.059591313337205076,0.515
low,overlap,VminusC,gain_T_vs_U,400,0.392048548613772,0.11032723022585425,0.6
low,overlap,VminusC,gain_T_vs_N,400,0.40850636637197263,0.10714713302544634,0.585
low,overlap,VminusC,gain_U_vs_N,400,0.016457817758200672,0.0605980619012242,0.48
low,overlap,HVminusC,gain_T_vs_U,400,-0.018212914066874263,0.09765276561254434,0.505
low,overlap,HVminusC,gain_T_vs_N,400,-0.008691628744612299,0.09386966354266245,0.475
low,overlap,HVminusC,gain_U_vs_N,400,0.009521285322261963,0.05635178425175732,0.4925
low,overlap,HVminusV,gain_T_vs_U,400,-0.4102614626806462,0.09706348108699958,0.4175
low,overlap,HVminusV,gain_T_vs_N,400,-0.41719799511658495,0.09813062839182095,0.4175
low,overlap,HVminusV,gain_U_vs_N,400,-0.006936532435938712,0.05730697470343943,0.49
low,overlap,VminusHV,gain_T_vs_U,400,0.4102614626806462,0.09706348108699958,0.5825
low,overlap,VminusHV,gain_T_vs_N,400,0.41719799511658495,0.09813062839182095,0.5825
low,overlap,VminusHV,gain_U_vs_N,400,0.006936532435938712,0.05730697470343943,0.51
low,overlap,HMminusC,gain_T_vs_U,400,0.41473148359170103,0.1056869171957536,0.61
low,overlap,HMminusC,gain_T_vs_N,400,0.3940027858556519,0.09895897708772514,0.5875
low,overlap,HMminusC,gain_U_vs_N,400,-0.02072869773604907,0.061824889341569246,0.4925
low,overlap,HMminusHV,gain_T_vs_U,400,0.43294439765857534,0.0958237442774683,0.615
low,overlap,HMminusHV,gain_T_vs_N,400,0.4026944146002643,0.09260397391916861,0.6
