checkpoint,seed,probe_family,span_len,contrast,n,delta_copy_gain_a_minus_b,copy_gain_a,copy_gain_b,delta_repeated_nll_a_minus_b,delta_unrepeated_nll_a_minus_b
chck_80M,43022,actual_packet_source_repeat,1,RminusC,900,0.8601283552534733,6.961104545647912,6.100976190394439,-0.4910993083066084,0.36902904694686534
chck_80M,43022,actual_packet_source_repeat,1,RminusV,900,0.5750250244744697,6.961104545647912,6.386079521173443,-0.4711768410031477,0.10384818347132185
chck_80M,43022,actual_packet_source_repeat,1,CminusV,900,-0.2851033307790036,6.100976190394439,6.386079521173443,0.0199224673034607,-0.2651808634755435
chck_80M,43022,actual_packet_source_repeat,1,VminusC,900,0.2851033307790036,6.386079521173443,6.100976190394439,-0.0199224673034607,0.2651808634755435
chck_80M,43022,actual_packet_source_repeat,1,VminusR,900,-0.5750250244744697,6.386079521173443,6.961104545647912,0.4711768410031477,-0.10384818347132185
chck_80M,43022,actual_packet_source_repeat,4,RminusC,900,0.6922868869566727,6.414397935284033,5.72211104832736,-0.26483937831678406,0.42744750863988834
chck_80M,43022,actual_packet_source_repeat,4,RminusV,900,0.5432673621870308,6.414397935284033,5.871130573097002,-0.1894246246980967,0.35384273748893325
chck_80M,43022,actual_packet_source_repeat,4,CminusV,900,-0.14901952476964198,5.72211104832736,5.871130573097002,0.07541475361868732,-0.0736047711509551
chck_80M,43022,actual_packet_source_repeat,4,VminusC,900,0.14901952476964198,5.871130573097002,5.72211104832736,-0.07541475361868732,0.0736047711509551
chck_80M,43022,actual_packet_source_repeat,4,VminusR,900,-0.5432673621870308,5.871130573097002,6.414397935284033,0.1894246246980967,-0.35384273748893325
chck_80M,43022,actual_packet_source_repeat,8,RminusC,900,0.39643240194894247,5.260149752948253,4.863717350999311,-0.25223584249101905,0.14419655945792353
chck_80M,43022,actual_packet_source_repeat,8,RminusV,900,0.29301273306637743,5.260149752948253,4.967137019881876,-0.17761906627002141,0.11539366679635599
chck_80M,43022,actual_packet_source_repeat,8,CminusV,900,-0.10341966888256504,4.863717350999311,4.967137019881876,0.07461677622099766,-0.028802892661567547
chck_80M,43022,actual_packet_source_repeat,8,VminusC,900,0.10341966888256504,4.967137019881876,4.863717350999311,-0.07461677622099766,0.028802892661567547
chck_80M,43022,actual_packet_source_repeat,8,VminusR,900,-0.29301273306637743,4.967137019881876,5.260149752948253,0.17761906627002141,-0.11539366679635599
chck_80M,43022,actual_packet_source_repeat,ALL,RminusC,2700,0.6496158813863628,6.2118840779600655,5.562268196573703,-0.3360581763714705,0.313557705014893
chck_80M,43022,actual_packet_source_repeat,ALL,RminusV,2700,0.47043503990929203,6.2118840779600655,5.7414490380507734,-0.2794068439904219,0.19102819591887066
chck_80M,43022,actual_packet_source_repeat,ALL,CminusV,2700,-0.1791808414770708,5.562268196573703,5.7414490380507734,0.05665133238104858,-0.12252950909602234
chck_80M,43022,actual_packet_source_repeat,ALL,VminusC,2700,0.1791808414770708,5.7414490380507734,5.562268196573703,-0.05665133238104858,0.12252950909602234
chck_80M,43022,actual_packet_source_repeat,ALL,VminusR,2700,-0.47043503990929203,5.7414490380507734,6.2118840779600655,0.2794068439904219,-0.19102819591887066
chck_80M,43022,random_token_span,1,RminusC,700,0.018552834029708642,0.5175283994632108,0.4989755654335022,0.013528669157199857,0.03208150318690706
chck_80M,43022,random_token_span,1,RminusV,700,0.010078301493610664,0.5175283994632108,0.5074500979696002,0.09135596745780639,0.10143426895141516
chck_80M,43022,random_token_span,1,CminusV,700,-0.008474532536097978,0.4989755654335022,0.5074500979696002,0.07782729830060653,0.0693527657645081
chck_80M,43022,random_token_span,1,VminusC,700,0.008474532536097978,0.5074500979696002,0.4989755654335022,-0.07782729830060653,-0.0693527657645081
chck_80M,43022,random_token_span,1,VminusR,700,-0.010078301493610664,0.5074500979696002,0.5175283994632108,-0.09135596745780639,-0.10143426895141516
chck_80M,43022,random_token_span,4,RminusC,700,-0.9475897917311107,6.547304743115923,7.494894534847034,1.010249573732061,0.06265978200095113
chck_80M,43022,random_token_span,4,RminusV,700,-0.8207813262034742,6.547304743115923,7.368086069319397,1.1256846590499787,0.3049033328465054
chck_80M,43022,random_token_span,4,CminusV,700,0.12680846552763647,7.494894534847034,7.368086069319397,0.1154350853179178,0.24224355084555427
chck_80M,43022,random_token_span,4,VminusC,700,-0.12680846552763647,7.368086069319397,7.494894534847034,-0.1154350853179178,-0.24224355084555427
chck_80M,43022,random_token_span,4,VminusR,700,0.8207813262034742,7.368086069319397,6.547304743115923,-1.1256846590499787,-0.3049033328465054
chck_80M,43022,random_token_span,8,RminusC,700,0.10401009292075614,9.460631080562514,9.356620987641758,0.029713500518617764,0.13372359343937568
chck_80M,43022,random_token_span,8,RminusV,700,0.16438814582036976,9.460631080562514,9.296242934742144,0.09769784508539114,0.2620859909057618
chck_80M,43022,random_token_span,8,CminusV,700,0.06037805289961362,9.356620987641758,9.296242934742144,0.06798434456677338,0.1283623974663861
chck_80M,43022,random_token_span,8,VminusC,700,-0.06037805289961362,9.296242934742144,9.356620987641758,-0.06798434456677338,-0.1283623974663861
chck_80M,43022,random_token_span,8,VminusR,700,-0.16438814582036976,9.296242934742144,9.460631080562514,-0.09769784508539114,-0.2620859909057618
chck_80M,43022,random_token_span,ALL,RminusC,2100,-0.27500895492688215,5.5084880743805495,5.783497029307432,0.35116391446929285,0.0761549595424107
chck_80M,43022,random_token_span,ALL,RminusV,2100,-0.21543829296316463,5.5084880743805495,5.723926367343714,0.4382461571977254,0.22280786423456256
