pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
rw2s0_025581,simple_wiki,21,18,39,0.8571428571428571,0.3076923076923077,0.5,0.5,,10
rw2s0_003152,gutenberg,18,20,38,1.1111111111111112,0.3125,0.5,0.5,,3
rw2s0_019092,simple_wiki,34,32,66,0.9411764705882353,0.7,0.875,0.8235294117647058,,7
rw2s0_010147,gutenberg,21,18,39,0.8571428571428571,0.42857142857142855,0.6,0.6,,4
rw2s1_022506,simple_wiki,26,28,54,1.0769230769230769,0.625,0.8333333333333334,0.7692307692307693,,5
rw2s0_002623,gutenberg,28,21,49,0.75,0.3684210526315789,0.5833333333333334,0.5833333333333334,,4
rw2s0_010128,simple_wiki,27,28,55,1.037037037037037,0.8,0.9230769230769231,0.9230769230769231,,11
rw2s0_016670,simple_wiki,21,22,43,1.0476190476190477,0.7142857142857143,0.9090909090909091,0.9090909090909091,,5
rw2s1_013968,gutenberg,34,32,66,0.9411764705882353,0.375,0.5625,0.5333333333333333,,5
rw2s1_031071,gutenberg,30,30,60,1.0,0.8571428571428571,0.9230769230769231,0.9230769230769231,,15
rw2s0_018804,gutenberg,24,26,50,1.0833333333333333,0.6,0.8181818181818182,0.8333333333333334,,9
rw2s1_020635,simple_wiki,21,21,42,1.0,0.875,0.9333333333333333,0.9333333333333333,,15
rw2s1_003928,gutenberg,24,22,46,0.9166666666666666,0.7,0.875,0.9,,10
rw2s0_024764,gutenberg,21,20,41,0.9523809523809523,0.8181818181818182,0.9,0.9,,10
rw2s1_001358,bnc_spoken,19,20,39,1.0526315789473684,0.8461538461538461,0.9166666666666666,0.9090909090909091,,12
rw2s0_013383,gutenberg,18,17,35,0.9444444444444444,0.46153846153846156,0.6666666666666666,0.6,,4
rw2s0_001311,gutenberg,23,20,43,0.8695652173913043,0.35294117647058826,0.5454545454545454,0.5454545454545454,,3
rw2s1_005482,gutenberg,25,24,49,0.96,0.8333333333333334,0.9090909090909091,0.9,,12
rw2s1_007099,gutenberg,20,18,38,0.9,0.23529411764705882,0.4,0.4,,5
rw2s0_031397,simple_wiki,18,17,35,0.9444444444444444,0.6666666666666666,0.8888888888888888,0.8888888888888888,,6
rw2s0_014799,simple_wiki,20,19,39,0.95,0.6153846153846154,0.8,0.8,,7
rw2s0_021896,gutenberg,33,33,66,1.0,0.9285714285714286,1.0,0.9230769230769231,,31
rw2s0_003704,bnc_spoken,29,31,60,1.0689655172413792,0.631578947368421,0.8,0.8,,11
rw2s0_008355,simple_wiki,24,19,43,0.7916666666666666,0.9090909090909091,1.0,1.0,,7
rw2s0_027937,open_subtitles,29,27,56,0.9310344827586207,0.5263157894736842,0.7692307692307693,0.75,,11
rw2s1_017218,simple_wiki,28,29,57,1.0357142857142858,0.8461538461538461,1.0,0.9285714285714286,,17
rw2s0_018113,simple_wiki,23,18,41,0.782608695652174,0.8461538461538461,1.0,1.0,,9
rw2s1_005894,gutenberg,26,28,54,1.0769230769230769,0.5263157894736842,0.7142857142857143,0.75,,4
rw2s1_027312,gutenberg,52,44,96,0.8461538461538461,0.9230769230769231,0.96,0.9615384615384616,,34
rw2s1_024340,gutenberg,49,45,94,0.9183673469387755,0.6551724137931034,0.8260869565217391,0.8333333333333334,,22
